web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,photo
"1789824643-13","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","DALLE DE TERRASSE EGAZON SYNTHETIQUE  CD-GRS-1","69,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/106690_.png"
"1789824643-14","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","BORDURE JARDIN CARBONIS 80 x 20 x 15 cm","179,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107070-compressed.jpg"
"1789824643-15","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","GAZON ARTIFICIEL 10 MM (1m²)","72,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/108497.png"
"1789824643-16","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","TREILLIS EXTENSIBLE FEUILLES DE IVY 1X2M","399,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107954_mdf.jpg"
"1789824652-17","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","HAIE ARTIFICIELLE  FINE 1X3M","299,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107956_mdf.jpg"
"1789824652-18","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","HAIE ARTIFICIELLE  1X3M","459,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107955_mdf.jpg"
"1789824652-19","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","HAIE ARTIFICIELLE FEUILLE DE LAURIER AMANDE","649,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107958_mdf.jpg"
"1789824652-20","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","HAIE ARTIFICIELLE FINE","459,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107957_mdf.jpg"
"1789824652-21","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","MUR VEGETAL TROPICAL 1x1M","849,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107962_mdf.jpg"
"1789824652-22","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","MUR VEGETAL LISERON 1x1M","849,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/c/a/capture_d_e_cran_2022-04-13_a_12.26.57.png"
